"district_name","ITN_Type","max_effect","min_effect","median_effect","mean_effect","max_percent","min_percent","median_percent","mean_percent"
"Kiruhura District","ITN4",1.21,0.59,1.01,0.94,17.56,-69.17,0.76,-6.43
"Kiryandongo District","ITN2",1.36,1.05,1.19,1.19,26.41,4.58,16.22,16.26
"Kiryandongo District","ITN3",1.25,0.79,0.98,0.98,19.97,-1.81,9.73,9.77
"Kiryandongo District","ITN4",1.26,0.69,0.96,0.96,20.6,-43.91,-3.94,-3.83
"Kisoro District","ITN2",1.29,0.84,1.08,1.06,22.67,-19.2,7.45,5.89
"Kisoro District","ITN3",2.21,1.17,1.82,1.77,54.85,5.25,40.02,38.33
"Kisoro District","ITN4",4.61,1.41,3.1,2.97,78.29,28.85,67.72,66.35
"Kitagwenda District","ITN2",1.29,1.05,1.1,1.14,22.29,4.59,9.34,12.27
"Kitagwenda District","ITN3",1.29,1.24,1.34,1.42,22.18,6.17,10.43,13.07
"Kitagwenda District","ITN4",2.23,1.42,1.61,1.73,55.13,29.82,37.9,42.35
"Kitgum District","ITN2",2.13,1.57,1.66,1.73,53.11,36.11,39.63,42.08
"Kitgum District","ITN3",1.18,0.98,1.04,1.09,15.28,-3.37,0.24,2.82
"Kitgum District","ITN4",1.54,0.97,1.06,1.14,35.02,-3.1,6.07,12.02
"Koboko District","ITN2",1.15,1,1.05,1.06,12.86,-0.29,4.93,5.87
"Koboko District","ITN3",1.21,1.45,1.58,1.6,17.31,5.24,10.04,10.9
"Koboko District","ITN4",3.21,2.28,2.62,2.68,68.82,56.18,61.83,62.75
"Kole District","ITN2",1.6,1.05,1.36,1.35,37.49,4.86,26.73,26.05
"Kole District","ITN3",1.17,0.73,1.02,1.01,14.25,-11.99,5.04,4.48
"Kole District","ITN4",1.29,0.62,1.02,1,22.54,-60.64,1.75,0.24
"Kotido District","ITN2",1.07,0.61,0.98,0.95,6.51,-63.26,-2.3,-5.43
"Kotido District","ITN3",1.09,0.23,1.09,1.02,8.43,-50.53,1.2,-1.36
"Kotido District","ITN4",1.53,0.38,1.16,1.04,34.58,-160.14,13.88,3.77
"Kumi District","ITN2",1.19,0.83,1.09,1.04,16.26,-20.16,8.26,3.93
"Kumi District","ITN3",1.18,0.68,0.97,0.91,15.38,-14.33,8.88,5.36
"Kumi District","ITN4",1.12,0.49,0.95,0.86,10.82,-103.8,-5.78,-16.27
"Kwania District","ITN2",1.6,1.24,1.33,1.37,37.66,19.65,24.56,27.23
"Kwania District","ITN3",1.15,1.05,1.15,1.21,12.88,-3.78,0.55,2.97
"Kwania District","ITN4",1.71,1.09,1.23,1.32,41.43,7.92,18.69,23.98
"Kween District","ITN2",1.4,0.97,1.01,1.08,28.6,-2.81,0.81,7.33
"Kween District","ITN3",1.7,1.04,1.08,1.15,41.12,11.41,14.99,21.32
