"district","campaign","distribution_start","distribution_end","distribution_date","coverage","mean_date","month_count","parent","location_id","latitude","longitude","level","path_to_top_parent","authority","emonc","emonc_unsupported_and_cross_cutting","facility_level","operational_status","ownership","region_name","district_name","subcounty_name"
"Butaleja District","2013_2014",NA,NA,"2013-11","0.89",2013-11-01,-14,"QBPg7KKCeoA","MtpE3CH6vq3",NA,NA,3,"akV6429SUqu,QBPg7KKCeoA,MtpE3CH6vq3",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bukedi","Butaleja District",NA
"Butambala District","2013_2014",NA,NA,"2013-12","0.89",2013-12-01,-13,"IEU0FjDAhBP","a3LMKP8z8Xj",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,a3LMKP8z8Xj",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Butambala District",NA
"Buvuma District","2013_2014",NA,NA,"2013-11","0.92",2013-11-01,-14,"Dl9WvtvDs5V","aZLZPPjqft0",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,aZLZPPjqft0",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Buvuma District",NA
"Buyende District","2013_2014",NA,NA,"2013-11","0.88",2013-11-01,-14,"Wd1lV9Qdj4o","F3ccON3OCsL",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,F3ccON3OCsL",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Buyende District",NA
"Dokolo District","2013_2014",NA,NA,"2014-06","0.89",2014-06-01,-7,"DWPnYhoqza0","wMQ25dybdgH",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,wMQ25dybdgH",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Dokolo District",NA
"Gomba District","2013_2014",NA,NA,"2013-12","0.89",2013-12-01,-13,"IEU0FjDAhBP","lQj3yMM1lI7",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,lQj3yMM1lI7",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Gomba District",NA
"Gulu District","2013_2014",NA,NA,"2014-06","0.89",2014-06-01,-7,"SUvODYOcaVf","Gwk4wkLz7EW",NA,NA,3,"akV6429SUqu,SUvODYOcaVf,Gwk4wkLz7EW",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Acholi","Gulu District",NA
"Hoima District","2013_2014",NA,NA,"2014-06","0.88",2014-06-01,-7,"yx0ieyZNF0l","PJFtfCyp6Rb",NA,NA,3,"akV6429SUqu,yx0ieyZNF0l,PJFtfCyp6Rb",NA,NA,"Unsupported Districts",NA,NA,NA,"Bunyoro","Hoima District",NA
"Ibanda District","2013_2014",NA,NA,"2014-01","0.89",2014-01-01,-12,"F1o6qBSx783","r8WLxW9JwsS",NA,NA,3,"akV6429SUqu,F1o6qBSx783,r8WLxW9JwsS",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Ibanda District",NA
"Iganga District","2013_2014",NA,NA,"2013-11","0.9",2013-11-01,-14,"Wd1lV9Qdj4o","oNxpMjveyZt",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,oNxpMjveyZt",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Iganga District",NA
"Isingiro District","2013_2014",NA,NA,"2014-01","0.92",2014-01-01,-12,"F1o6qBSx783","UaR7OHycj8c",NA,NA,3,"akV6429SUqu,F1o6qBSx783,UaR7OHycj8c",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Isingiro District",NA
"Jinja District","2013_2014",NA,NA,"2013-11","1.04",2013-11-01,-14,"Wd1lV9Qdj4o","aJR2ZxSH7g4",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,aJR2ZxSH7g4",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Jinja District",NA
"Kaabong District","2013_2014",NA,NA,"2014-06","0.87",2014-06-01,-7,"jdlbNUwJiKX","eOJUW6OGpc7",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,eOJUW6OGpc7",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Karamoja","Kaabong District",NA
"Kabale District","2013_2014",NA,NA,"2014-06","0.9",2014-06-01,-7,"G0rlphd2tcD","zBIpPzKYFLp",NA,NA,3,"akV6429SUqu,G0rlphd2tcD,zBIpPzKYFLp",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Kigezi","Kabale District",NA
"Kabarole District","2013_2014",NA,NA,"2014-01","0.9",2014-01-01,-12,"JZhJ50nOirX","m77oR1YJESj",NA,NA,3,"akV6429SUqu,JZhJ50nOirX,m77oR1YJESj",NA,NA,"Unsupported Districts",NA,NA,NA,"Tooro","Kabarole District",NA
"Kaberamaido District","2013_2014",NA,NA,"2013-09","0.9",2013-09-01,-16,"r0GhWtmPHDj","QoRZB7xc3j9",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,QoRZB7xc3j9",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Kaberamaido District",NA
"Kalangala District","2013_2014",NA,NA,"2013-12","0.94",2013-12-01,-13,"IEU0FjDAhBP","JrHILmtK0OU",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,JrHILmtK0OU",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Kalangala District",NA
"Kaliro District","2013_2014",NA,NA,"2012-09","0.86",2012-09-01,-28,"Wd1lV9Qdj4o","kJCEJnXLgnh",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,kJCEJnXLgnh",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Kaliro District",NA
"Kalungu District","2013_2014",NA,NA,"2013-12","0.9",2013-12-01,-13,"IEU0FjDAhBP","ahyi8Uq4vaj",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,ahyi8Uq4vaj",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Kalungu District",NA
"Kampala District","2013_2014",NA,NA,"2014-08","0.59",2014-08-01,-5,"GIpyzaSuEgM","aXmBzv61LbM",NA,NA,3,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM",NA,NA,"Unsupported Districts",NA,NA,NA,"Kampala","Kampala District",NA
"Kamuli District","2013_2014",NA,NA,"2013-11","0.89",2013-11-01,-14,"Wd1lV9Qdj4o","oyygQ2STBST",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,oyygQ2STBST",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Kamuli District",NA
"Kamwenge District","2013_2014",NA,NA,"2014-01","0.9",2014-01-01,-12,"JZhJ50nOirX","uCVQXAdKqL9",NA,NA,3,"akV6429SUqu,JZhJ50nOirX,uCVQXAdKqL9",NA,NA,"Unsupported Districts",NA,NA,NA,"Tooro","Kamwenge District",NA
"Kanungu District","2013_2014",NA,NA,"2014-06","0.89",2014-06-01,-7,"G0rlphd2tcD","aphcy5JTnd6",NA,NA,3,"akV6429SUqu,G0rlphd2tcD,aphcy5JTnd6",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Kigezi","Kanungu District",NA
"Kapchorwa District","2013_2014",NA,NA,"2013-09","0.98",2013-09-01,-16,"Dt6qdenPX1E","aginheWSLef",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,aginheWSLef",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Kapchorwa District",NA
"Kasese District","2013_2014",NA,NA,"2014-06","0.88",2014-06-01,-7,"JZhJ50nOirX","aa8xVDzSpte",NA,NA,3,"akV6429SUqu,JZhJ50nOirX,aa8xVDzSpte",NA,NA,"Unsupported Districts",NA,NA,NA,"Tooro","Kasese District",NA
"Katakwi District","2013_2014",NA,NA,"2013-10","0.97",2013-10-01,-15,"r0GhWtmPHDj","cSrCFjPKqcG",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,cSrCFjPKqcG",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Katakwi District",NA
"Kayunga District","2013_2014",NA,NA,"2013-11","0.89",2013-11-01,-14,"Dl9WvtvDs5V","ykxQEnZGXkj",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,ykxQEnZGXkj",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Kayunga District",NA
"Kibaale District","2013_2014",NA,NA,"2014-06","0.88",2014-06-01,-7,"yx0ieyZNF0l","tM3DsJxMaMX",NA,NA,3,"akV6429SUqu,yx0ieyZNF0l,tM3DsJxMaMX",NA,NA,"Unsupported Districts",NA,NA,NA,"Bunyoro","Kibaale District",NA
"Kiboga District","2013_2014",NA,NA,"2013-12","0.96",2013-12-01,-13,"Dl9WvtvDs5V","GLHh0BXys9w",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,GLHh0BXys9w",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Kiboga District",NA
"Kibuku District","2013_2014",NA,NA,"2013-11","0.83",2013-11-01,-14,"QBPg7KKCeoA","Oyxwe3iDqpR",NA,NA,3,"akV6429SUqu,QBPg7KKCeoA,Oyxwe3iDqpR",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bukedi","Kibuku District",NA
"Kiruhura District","2013_2014",NA,NA,"2014-01","0.89",2014-01-01,-12,"F1o6qBSx783","qf9xWZu7Dq8",NA,NA,3,"akV6429SUqu,F1o6qBSx783,qf9xWZu7Dq8",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Kiruhura District",NA
"Kiryandongo District","2013_2014",NA,NA,"2014-06","0.89",2014-06-01,-7,"yx0ieyZNF0l","B0G9cqixld8",NA,NA,3,"akV6429SUqu,yx0ieyZNF0l,B0G9cqixld8",NA,NA,"Unsupported Districts",NA,NA,NA,"Bunyoro","Kiryandongo District",NA
"Kisoro District","2013_2014",NA,NA,"2014-06","0.89",2014-06-01,-7,"G0rlphd2tcD","aPhSZRinfbg",NA,NA,3,"akV6429SUqu,G0rlphd2tcD,aPhSZRinfbg",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Kigezi","Kisoro District",NA
"Kitgum District","2013_2014",NA,NA,"2014-06","0.92",2014-06-01,-7,"SUvODYOcaVf","pnTVIF5v27r",NA,NA,3,"akV6429SUqu,SUvODYOcaVf,pnTVIF5v27r",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Acholi","Kitgum District",NA
"Koboko District","2013_2014",NA,NA,"2014-06","0.87",2014-06-01,-7,"BD3XaQ7cQAp","iqsaGItA68C",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,iqsaGItA68C",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Koboko District",NA
"Kole District","2013_2014",NA,NA,"2014-06","0.89",2014-06-01,-7,"DWPnYhoqza0","Y4LV8xqkv6J",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,Y4LV8xqkv6J",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Kole District",NA
"Kotido District","2013_2014",NA,NA,"2014-06","0.86",2014-06-01,-7,"jdlbNUwJiKX","aPZzL4CyBTg",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,aPZzL4CyBTg",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Karamoja","Kotido District",NA
"Kumi District","2013_2014",NA,NA,"2013-10","0.85",2013-10-01,-15,"r0GhWtmPHDj","saT18HClZoz",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,saT18HClZoz",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Kumi District",NA
"Kween District","2013_2014",NA,NA,"2013-10","0.88",2013-10-01,-15,"Dt6qdenPX1E","h1O9AvNR4jS",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,h1O9AvNR4jS",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Kween District",NA
"Kyankwanzi District","2013_2014",NA,NA,"2013-12","0.89",2013-12-01,-13,"Dl9WvtvDs5V","IVuiLJYABw6",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,IVuiLJYABw6",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Kyankwanzi District",NA
"Kyegegwa District","2013_2014",NA,NA,"2014-01","0.86",2014-01-01,-12,"JZhJ50nOirX","a9tQqo1rSj7",NA,NA,3,"akV6429SUqu,JZhJ50nOirX,a9tQqo1rSj7",NA,NA,"Unsupported Districts",NA,NA,NA,"Tooro","Kyegegwa District",NA
"Kyenjojo District","2013_2014",NA,NA,"2014-01","0.89",2014-01-01,-12,"JZhJ50nOirX","O9MoQcpZ4uA",NA,NA,3,"akV6429SUqu,JZhJ50nOirX,O9MoQcpZ4uA",NA,NA,"Unsupported Districts",NA,NA,NA,"Tooro","Kyenjojo District",NA
"Lamwo District","2013_2014",NA,NA,"2014-06","0.91",2014-06-01,-7,"SUvODYOcaVf","xy0M4HhjXtD",NA,NA,3,"akV6429SUqu,SUvODYOcaVf,xy0M4HhjXtD",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Acholi","Lamwo District",NA
"Lira District","2013_2014",NA,NA,"2014-06","0.88",2014-06-01,-7,"DWPnYhoqza0","Lj8t70RYnEt",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,Lj8t70RYnEt",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Lira District",NA
"Luuka District","2013_2014",NA,NA,"2013-11","0.9",2013-11-01,-14,"Wd1lV9Qdj4o","hn1AlYtF1Pu",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,hn1AlYtF1Pu",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Luuka District",NA
"Luwero District","2013_2014",NA,NA,"2013-12","0.9",2013-12-01,-13,"Dl9WvtvDs5V","tr9XWtYsL5P",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,tr9XWtYsL5P",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Luwero District",NA
"Lwengo District","2013_2014",NA,NA,"2013-12","0.9",2013-12-01,-13,"IEU0FjDAhBP","aqpd0Y9eXZ2",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,aqpd0Y9eXZ2",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Lwengo District",NA
"Lyantonde District","2013_2014",NA,NA,"2013-12","0.89",2013-12-01,-13,"IEU0FjDAhBP","aPRNSGUR3vk",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,aPRNSGUR3vk",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Lyantonde District",NA
"Manafwa District","2013_2014",NA,NA,"2013-10","0.91",2013-10-01,-15,"Dt6qdenPX1E","JIZDvNlIhXS",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,JIZDvNlIhXS",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Manafwa District",NA
"Maracha District","2013_2014",NA,NA,"2014-06","0.93",2014-06-01,-7,"BD3XaQ7cQAp","WyR8Eetj7Uw",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,WyR8Eetj7Uw",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Maracha District",NA
"Masaka District","2013_2014",NA,NA,"2013-12","0.98",2013-12-01,-13,"IEU0FjDAhBP","bIONCoCnt3Q",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Masaka District",NA
"Masindi District","2013_2014",NA,NA,"2014-06","0.94",2014-06-01,-7,"yx0ieyZNF0l","xr8EMirOASp",NA,NA,3,"akV6429SUqu,yx0ieyZNF0l,xr8EMirOASp",NA,NA,"Unsupported Districts",NA,NA,NA,"Bunyoro","Masindi District",NA
"Mayuge District","2013_2014",NA,NA,"2012-09","0.64",2012-09-01,-28,"Wd1lV9Qdj4o","mv4gKtY0qW8",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,mv4gKtY0qW8",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Mayuge District",NA
"Mbale District","2013_2014",NA,NA,"2013-11","0.89",2013-11-01,-14,"Dt6qdenPX1E","yuo5ielNL7W",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,yuo5ielNL7W",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Mbale District",NA
"Mbarara District","2013_2014",NA,NA,"2014-01","0.9",2014-01-01,-12,"F1o6qBSx783","auswb7JO9wY",NA,NA,3,"akV6429SUqu,F1o6qBSx783,auswb7JO9wY",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Mbarara District",NA
"Mitooma District","2013_2014",NA,NA,"2014-01","0.89",2014-01-01,-12,"F1o6qBSx783","FLygHiUd2UW",NA,NA,3,"akV6429SUqu,F1o6qBSx783,FLygHiUd2UW",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Mitooma District",NA
"Mityana District","2013_2014",NA,NA,"2013-12","0.91",2013-12-01,-13,"Dl9WvtvDs5V","Q7PaNIbyZII",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,Q7PaNIbyZII",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Mityana District",NA
"Moroto District","2013_2014",NA,NA,"2014-06","0.89",2014-06-01,-7,"jdlbNUwJiKX","A9kRCvmn6Co",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,A9kRCvmn6Co",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Karamoja","Moroto District",NA
"Moyo District","2013_2014",NA,NA,"2014-06","0.91",2014-06-01,-7,"BD3XaQ7cQAp","W0kQBddyGyh",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,W0kQBddyGyh",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Moyo District",NA
"Mpigi District","2013_2014",NA,NA,"2013-12","0.9",2013-12-01,-13,"IEU0FjDAhBP","YMMexeHFUay",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,YMMexeHFUay",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Mpigi District",NA
"Mubende District","2013_2014",NA,NA,"2013-12","0.88",2013-12-01,-13,"Dl9WvtvDs5V","lzWuB6bCQeV",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,lzWuB6bCQeV",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Mubende District",NA
"Mukono District","2013_2014",NA,NA,"2013-11","0.94",2013-11-01,-14,"Dl9WvtvDs5V","a0DfYpC2Rwl",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,a0DfYpC2Rwl",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Mukono District",NA
"Nakapiripirit District","2013_2014",NA,NA,"2013-10","0.86",2013-10-01,-15,"jdlbNUwJiKX","VuHCApXcMTm",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,VuHCApXcMTm",NA,NA,"Unsupported Districts",NA,NA,NA,"Karamoja","Nakapiripirit District",NA
"Nakaseke District","2013_2014",NA,NA,"2013-12","0.88",2013-12-01,-13,"Dl9WvtvDs5V","aSbgVKaeCP0",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,aSbgVKaeCP0",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Nakaseke District",NA
"Nakasongola District","2013_2014",NA,NA,"2013-12","0.89",2013-12-01,-13,"Dl9WvtvDs5V","aUcYGQCK9ub",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,aUcYGQCK9ub",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Nakasongola District",NA
"Namayingo District","2013_2014",NA,NA,"2013-11","1.01",2013-11-01,-14,"Wd1lV9Qdj4o","Ut0ysYGEipO",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,Ut0ysYGEipO",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Namayingo District",NA
"Namutumba District","2013_2014",NA,NA,"2013-11","0.89",2013-11-01,-14,"Wd1lV9Qdj4o","esIUe2tQAtL",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,esIUe2tQAtL",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Namutumba District",NA
"Napak District","2013_2014",NA,NA,"2014-06","0.88",2014-06-01,-7,"jdlbNUwJiKX","EDhGji3EteB",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,EDhGji3EteB",NA,NA,"Unsupported Districts",NA,NA,NA,"Karamoja","Napak District",NA
"Nebbi District","2013_2014",NA,NA,"2014-06","0.91",2014-06-01,-7,"BD3XaQ7cQAp","Xjc0LDFa5gW",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,Xjc0LDFa5gW",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Nebbi District",NA
"Ngora District","2013_2014",NA,NA,"2013-10","0.9",2013-10-01,-15,"r0GhWtmPHDj","aj4hsYK3dVm",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,aj4hsYK3dVm",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Ngora District",NA
"Ntoroko District","2013_2014",NA,NA,"2014-01","0.89",2014-01-01,-12,"JZhJ50nOirX","z8D9ER36EKN",NA,NA,3,"akV6429SUqu,JZhJ50nOirX,z8D9ER36EKN",NA,NA,"Unsupported Districts",NA,NA,NA,"Tooro","Ntoroko District",NA
"Ntungamo District","2013_2014",NA,NA,"2014-06","0.89",2014-06-01,-7,"F1o6qBSx783","hAoe9dhZh9V",NA,NA,3,"akV6429SUqu,F1o6qBSx783,hAoe9dhZh9V",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Ntungamo District",NA
"Nwoya District","2013_2014",NA,NA,"2014-06","0.89",2014-06-01,-7,"SUvODYOcaVf","zNgVoDVPYgD",NA,NA,3,"akV6429SUqu,SUvODYOcaVf,zNgVoDVPYgD",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Acholi","Nwoya District",NA
"Otuke District","2013_2014",NA,NA,"2014-06","0.91",2014-06-01,-7,"DWPnYhoqza0","aXjub1BYn1y",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,aXjub1BYn1y",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Otuke District",NA
"Oyam District","2013_2014",NA,NA,"2014-06","0.89",2014-06-01,-7,"DWPnYhoqza0","xpIFdCMhVHG",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,xpIFdCMhVHG",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Oyam District",NA
"Pader District","2013_2014",NA,NA,"2014-06","0.9",2014-06-01,-7,"SUvODYOcaVf","aBrjuZk0W31",NA,NA,3,"akV6429SUqu,SUvODYOcaVf,aBrjuZk0W31",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Acholi","Pader District",NA
"Pallisa District","2013_2014",NA,NA,"2013-10","0.91",2013-10-01,-15,"QBPg7KKCeoA","WiVj4bEhX4P",NA,NA,3,"akV6429SUqu,QBPg7KKCeoA,WiVj4bEhX4P",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bukedi","Pallisa District",NA
"Rakai District","2013_2014",NA,NA,"2013-12","0.9",2013-12-01,-13,"IEU0FjDAhBP","P8iz90eiIrW",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,P8iz90eiIrW",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Rakai District",NA
"Rubirizi District","2013_2014",NA,NA,"2014-01","0.89",2014-01-01,-12,"F1o6qBSx783","fS71jg1WYPk",NA,NA,3,"akV6429SUqu,F1o6qBSx783,fS71jg1WYPk",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Rubirizi District",NA
"Rukungiri District","2013_2014",NA,NA,"2014-06","0.9",2014-06-01,-7,"G0rlphd2tcD","tugqr4dY6wq",NA,NA,3,"akV6429SUqu,G0rlphd2tcD,tugqr4dY6wq",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Kigezi","Rukungiri District",NA
"Sembabule District","2013_2014",NA,NA,"2013-12","0.9",2013-12-01,-13,"IEU0FjDAhBP","j7AQsnEYmvi",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,j7AQsnEYmvi",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Sembabule District",NA
"Serere District","2013_2014",NA,NA,"2012-09","0.62",2012-09-01,-28,"r0GhWtmPHDj","zJfpujxC1kD",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,zJfpujxC1kD",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Serere District",NA
"Sheema District","2013_2014",NA,NA,"2014-01","0.89",2014-01-01,-12,"F1o6qBSx783","xAJgEKKAeRA",NA,NA,3,"akV6429SUqu,F1o6qBSx783,xAJgEKKAeRA",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Sheema District",NA
"Sironko District","2013_2014",NA,NA,"2013-09","0.87",2013-09-01,-16,"Dt6qdenPX1E","wJ2a6YKDFZW",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,wJ2a6YKDFZW",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Sironko District",NA
"Soroti District","2013_2014",NA,NA,"2013-05","0.96",2013-05-01,-20,"r0GhWtmPHDj","srmGjHrpVE5",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,srmGjHrpVE5",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Soroti District",NA
"Tororo District","2013_2014",NA,NA,"2013-11","0.9",2013-11-01,-14,"QBPg7KKCeoA","KhT80mlwJ3Y",NA,NA,3,"akV6429SUqu,QBPg7KKCeoA,KhT80mlwJ3Y",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bukedi","Tororo District",NA
"Wakiso District","2013_2014",NA,NA,"2014-08","0.73",2014-08-01,-5,"IEU0FjDAhBP","aIahLLmtvgT",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Wakiso District",NA
"Yumbe District","2013_2014",NA,NA,"2014-06","0.88",2014-06-01,-7,"BD3XaQ7cQAp","W1JM2Qdhcv3",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,W1JM2Qdhcv3",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Yumbe District",NA
"Zombo District","2013_2014",NA,NA,"2014-06","0.9",2014-06-01,-7,"BD3XaQ7cQAp","A4aGXEfdb8P",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,A4aGXEfdb8P",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Zombo District",NA
"Kapelebyong District","2017_2018",NA,NA,"2017-04","",2017-04-01,27,"r0GhWtmPHDj","mvN9LBbpf7X",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,mvN9LBbpf7X",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Kapelebyong District",NA
"Kwania District","2017_2018",NA,NA,"2017-02","",2017-02-01,25,"DWPnYhoqza0","gCN6sU5BjlR",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,gCN6sU5BjlR",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Kwania District",NA
"Madi-Okollo District","2017_2018",NA,NA,"2017-02","",2017-02-01,25,"BD3XaQ7cQAp","bLoH4VbxCGI",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,bLoH4VbxCGI",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Madi-Okollo District",NA
