"location","spray_start","spray_end","formulation","year","household_coverage","population_coverage","funder","source","source_2","spray_date","month_count","location_id","region_name","path_to_top_parent","form_short","district"
"Amuru District",2017-03-01,2017-04-01,"Actellic",2017,NA,NA,"","https://www.nature.com/articles/s41467-021-22896-5","","2017-03",26,"C0RSe3EWBqU","Acholi","akV6429SUqu,SUvODYOcaVf,C0RSe3EWBqU","actellic","Amuru District"
"Budaka District",2017-04-01,2017-07-01,"Actellic",2017,NA,NA,"","USAID summarized by AI (can't check)","","2017-05",28,"kb7iUQISRlx","Bukedi","akV6429SUqu,QBPg7KKCeoA,kb7iUQISRlx","actellic","Budaka District"
"Alebtong District",2018-04-09,2018-05-12,"Actellic",2018,90.9,NA,"","https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676","","2018-04",39,"p7EEgDEX3jT","Lango","akV6429SUqu,DWPnYhoqza0,p7EEgDEX3jT","actellic","Alebtong District"
"Amolatar District",2018-04-09,2018-05-12,"Actellic",2018,96.1,NA,"","https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676","","2018-04",39,"ZuQHWOaFQVM","Lango","akV6429SUqu,DWPnYhoqza0,ZuQHWOaFQVM","actellic","Amolatar District"
"Dokolo District",2018-04-09,2018-05-12,"Actellic",2018,94.3,NA,"","https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676","","2018-04",39,"wMQ25dybdgH","Lango","akV6429SUqu,DWPnYhoqza0,wMQ25dybdgH","actellic","Dokolo District"
"Otuke District",2018-06-11,2018-07-27,"Actellic",2018,98.4,NA,"","https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676","","2018-07",42,"aXjub1BYn1y","Lango","akV6429SUqu,DWPnYhoqza0,aXjub1BYn1y","actellic","Otuke District"
"Tororo District",2018-06-11,2018-07-27,"Actellic",2018,95.8,NA,"PMI","https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676","","2018-07",42,"KhT80mlwJ3Y","Bukedi","akV6429SUqu,QBPg7KKCeoA,KhT80mlwJ3Y","actellic","Tororo District"
"Budaka District",2019-03-18,2019-04-15,"Actellic",2019,NA,NA,"PMI","https://pdf.usaid.gov/pdf_docs/PA00WQTX.pdf","","2019-04",51,"kb7iUQISRlx","Bukedi","akV6429SUqu,QBPg7KKCeoA,kb7iUQISRlx","actellic","Budaka District"
"Bugiri District",2019-03-18,2019-04-15,"Actellic",2019,NA,NA,"PMI","https://pdf.usaid.gov/pdf_docs/PA00WQTX.pdf","","2019-04",51,"gUaoj8Geuao","Busoga","akV6429SUqu,Wd1lV9Qdj4o,gUaoj8Geuao","actellic","Bugiri District"
"Butaleja District",2019-03-18,2019-04-15,"Actellic",2019,NA,NA,"PMI","https://pdf.usaid.gov/pdf_docs/PA00WQTX.pdf","","2019-04",51,"MtpE3CH6vq3","Bukedi","akV6429SUqu,QBPg7KKCeoA,MtpE3CH6vq3","actellic","Butaleja District"
"Butebo District",2019-03-18,2019-04-15,"Actellic",2019,NA,NA,"PMI","https://pdf.usaid.gov/pdf_docs/PA00WQTX.pdf","","2019-04",51,"FDPqRvcW3NN","Bukedi","akV6429SUqu,QBPg7KKCeoA,FDPqRvcW3NN","actellic","Butebo District"
